LAD19CD,ethnicity,population,proportion
E06000031,Mixed/multiple ethnic group,4948.0,0.026945341472845
E06000031,Other ethnic group,1483.0,0.00807597845679651
E06000031,White,151544.0,0.825263708197418
E06000032,Asian/Asian British,60952.0,0.299959153744322
E06000032,Black/African/Caribbean/Black British,19909.0,0.0979768800350392
E06000032,Mixed/multiple ethnic group,8281.0,0.0407527522010226
E06000032,Other ethnic group,2980.0,0.0146652821590445
E06000032,White,111079.0,0.546645931860572
E06000033,Asian/Asian British,6440.0,0.0370843842495019
E06000033,Black/African/Caribbean/Black British,3647.0,0.0210010480369462
E06000033,Mixed/multiple ethnic group,3651.0,0.0210240818159831
E06000033,Other ethnic group,897.0,0.00516532494903776
E06000033,White,159023.0,0.915725160948531
E06000034,Asian/Asian British,5927.0,0.0375828286991535
E06000034,Black/African/Caribbean/Black British,12323.0,0.0781395643765258
E06000034,Mixed/multiple ethnic group,3099.0,0.0196506134872071
E06000034,Other ethnic group,927.0,0.00587806347293998
E06000034,White,135429.0,0.858748929964174
E06000035,Asian/Asian British,13615.0,0.0515866249881595
E06000035,Black/African/Caribbean/Black British,6663.0,0.0252458084683149
E06000035,Mixed/multiple ethnic group,5176.0,0.0196116320924505
E06000035,Other ethnic group,1892.0,0.0071687032300843
E06000035,White,236579.0,0.896387231220991
E06000036,Asian/Asian British,5664.0,0.0500331257453293
E06000036,Black/African/Caribbean/Black British,2189.0,0.0193366017402058
E06000036,Mixed/multiple ethnic group,2303.0,0.0203436243982156
E06000036,Other ethnic group,495.0,0.00437259838346363
E06000036,White,102554.0,0.905914049732786
E06000037,Asian/Asian British,3808.0,0.0247558866742079
E06000037,Black/African/Caribbean/Black British,1376.0,0.00894540442849527
E06000037,Mixed/multiple ethnic group,2420.0,0.0157324699977897
E06000037,Other ethnic group,364.0,0.00236637152032869
E06000037,White,145854.0,0.948199867379178
E06000038,Asian/Asian British,21161.0,0.135910544772573
E06000038,Black/African/Caribbean/Black British,10470.0,0.0672455651325001
E06000038,Mixed/multiple ethnic group,6180.0,0.0396922246913897
E06000038,Other ethnic group,1500.0,0.00963403511926935
E06000038,White,116387.0,0.747517630284268
E06000039,Asian/Asian British,55697.0,0.397254020897971
E06000039,Black/African/Caribbean/Black British,12115.0,0.0864091865482686
E06000039,Mixed/multiple ethnic group,4758.0,0.0339360222531293
E06000039,Other ethnic group,3582.0,0.0255483042687493
E06000039,White,64053.0,0.456852466031882
E06000040,Asian/Asian British,13848.0,0.0957941339236303
E06000040,Black/African/Caribbean/Black British,1725.0,0.0119327614831212
E06000040,Mixed/multiple ethnic group,3315.0,0.022931654676259
E06000040,Other ethnic group,1167.0,0.00807277255118982
E06000040,White,124505.0,0.8612686773658
E06000041,Asian/Asian British,11438.0,0.0740899080191735
E06000041,Black/African/Caribbean/Black British,2093.0,0.0135574556289675
