UTLA19CD,ethnicity,population,proportion
E08000007,Black/African/Caribbean/Black British,1958,0.0069120112964433855
E08000007,Mixed/multiple ethnic group,5104,0.01801782719971759
E08000007,Other ethnic group,1632,0.005761186126555467
E08000007,White,260819,0.9207272085429353
E08000008,Asian/Asian British,14553,0.06635388739946381
E08000008,Black/African/Caribbean/Black British,1784,0.008134084733088945
E08000008,Mixed/multiple ethnic group,3159,0.014403348470755594
E08000008,Other ethnic group,399,0.0018192263500574493
E08000008,White,199429,0.9092894530466342
E08000009,Asian/Asian British,17973,0.07932367661467574
E08000009,Black/African/Caribbean/Black British,6540,0.028864232184942933
E08000009,Mixed/multiple ethnic group,6031,0.026617765184616334
E08000009,Other ethnic group,2200,0.009709680551509855
E08000009,White,193834,0.8554846454642552
E08000010,Asian/Asian British,3519,0.01107129486013799
E08000010,Black/African/Caribbean/Black British,1678,0.0052792363669541195
E08000010,Mixed/multiple ethnic group,2756,0.008670783925700568
E08000010,Other ethnic group,703,0.0022117420536166546
E08000010,White,309193,0.9727669427935907
E08000011,Asian/Asian British,1403,0.009616636850294394
E08000011,Black/African/Caribbean/Black British,505,0.0034614409190296997
E08000011,Mixed/multiple ethnic group,1913,0.013112349461591715
E08000011,Other ethnic group,214,0.00146682842905417
E08000011,White,141858,0.97234274434003
E08000012,Asian/Asian British,19403,0.041600291585819495
E08000012,Black/African/Caribbean/Black British,12308,0.026388516664343987
E08000012,Mixed/multiple ethnic group,11756,0.025205021279332784
E08000012,Other ethnic group,8277,0.017745998735032107
E08000012,White,414671,0.8890601717354716
E08000013,Asian/Asian British,1764,0.010062290368950648
E08000013,Black/African/Caribbean/Black British,248,0.0014146530677436283
E08000013,Mixed/multiple ethnic group,1179,0.006725306318023137
E08000013,Other ethnic group,240,0.0013690190978164144
E08000013,White,171877,0.9804287311474662
E08000014,Asian/Asian British,2719,0.00993096899083239
E08000014,Black/African/Caribbean/Black British,796,0.0029073377406041126
E08000014,Mixed/multiple ethnic group,2820,0.010299864859929142
E08000014,Other ethnic group,714,0.002607838124109719
E08000014,White,266741,0.9742539902845246
E08000015,Asian/Asian British,5116,0.015998348880334478
E08000015,Black/African/Caribbean/Black British,695,0.002173348802156462
E08000015,Mixed/multiple ethnic group,3286,0.0102757182214189
E08000015,Other ethnic group,530,0.0016573739066804676
E08000015,White,310156,0.9698952101894097
E08000016,Asian/Asian British,1661,0.0071836035654200955
E08000016,Black/African/Caribbean/Black British,1221,0.005280662223586958
E08000016,Mixed/multiple ethnic group,1630,0.007049532698154579
E08000016,Other ethnic group,424,0.0018337434748573874
E08000016,White,226285,0.978652458037981
E08000017,Asian/Asian British,7614,0.025178404904729466
E08000017,Black/African/Caribbean/Black British,2337,0.007728123491246751
E08000017,Mixed/multiple ethnic group,3321,0.010982070224403277
E08000017,Other ethnic group,1064,0.0035184952480473014
E08000017,White,288066,0.9525929061315732
E08000018,Asian/Asian British,10551,0.0410097947761194
E08000018,Black/African/Caribbean/Black British,2112,0.008208955223880597
E08000018,Mixed/multiple ethnic group,2551,0.009915267412935323
E08000018,Other ethnic group,1308,0.005083955223880597
E08000018,White,240758,0.935782027363184
E08000019,Asian/Asian British,44385,0.08030606226185005
E08000019,Black/African/Caribbean/Black British,20082,0.03633449008319191
E08000019,Mixed/multiple ethnic group,13289,0.02404387206032951
E08000019,Other ethnic group,12398,0.022431780104143675
E08000019,White,462544,0.8368837954904849
E08000021,Asian/Asian British,27107,0.09674955474575
E08000021,Black/African/Caribbean/Black British,5160,0.018416929298265026
E08000021,Mixed/multiple ethnic group,4279,0.015272488462650396
E08000021,Other ethnic group,4098,0.01462646826827327
E08000021,White,239533,0.8549345592250613
E08000022,Asian/Asian British,3815,0.018998909367981234
E08000022,Black/African/Caribbean/Black British,734,0.0036553602820703084
E08000022,Mixed/multiple ethnic group,1815,0.009038799607571675
E08000022,Other ethnic group,412,0.002051782610644369
E08000022,White,194025,0.9662551481317324
E08000023,Asian/Asian British,3311,0.02235244081092576
E08000023,Black/African/Caribbean/Black British,420,0.0028354047540286374
E08000023,Mixed/multiple ethnic group,1325,0.008945026902590344
E08000023,Other ethnic group,972,0.006561936716466275
E08000023,White,142099,0.959305190815989
E08000024,Asian/Asian British,7336,0.02662736927689415
E08000024,Black/African/Caribbean/Black British,1273,0.004620589025284386
E08000024,Mixed/multiple ethnic group,1778,0.006453579958331216
E08000024,Other ethnic group,837,0.0030380463583370237
E08000024,White,264282,0.9592604153811533
E08000025,Asian/Asian British,285640,0.266195732704593
E08000025,Black/African/Caribbean/Black British,96360,0.08980052094739736
E08000025,Mixed/multiple ethnic group,47605,0.04436440223848953
E08000025,Other ethnic group,21804,0.020319744279130886
E08000025,White,621636,0.5793195998303892
E08000026,Asian/Asian British,51598,0.16279025744573447
E08000026,Black/African/Caribbean/Black British,17764,0.05604492680464412
E08000026,Mixed/multiple ethnic group,8230,0.02596542150429076
E08000026,Other ethnic group,5339,0.01684439676930843
E08000026,White,234029,0.7383549974760222
E08000027,Asian/Asian British,18942,0.060532076376128466
E08000027,Black/African/Caribbean/Black British,4671,0.014926899416793161
E08000027,Mixed/multiple ethnic group,5758,0.018400575217703923
E08000027,Other ethnic group,1947,0.006221938164096828
E08000027,White,281607,0.8999185108252776
E08000028,Asian/Asian British,59258,0.1923567581955639
